2025-10-08 00:39:55,879 - WARNING - Invalid tier 'CA' in row 37, defaulting to 'C2'
2025-10-08 00:39:55,879 - INFO - ✓ Cleaned limits_and_derivatives.csv: 85 questions
2025-10-08 00:39:55,880 - INFO - ✓ Saved cleaned: limits_and_derivatives_cleaned.csv
2025-10-08 00:39:55,880 - INFO -   Original moved to: processed/limits_and_derivatives_processed_20251008_003955.csv
2025-10-08 00:39:55,880 - INFO -   Questions: 85 | Tiers: C1:15, C2:49, C3:16, C4:5
2025-10-08 00:39:55,880 - INFO - ------------------------------------------------------------
2025-10-08 00:39:55,880 - INFO - Processing: binomial_theorem.csv
2025-10-08 00:39:55,882 - WARNING - Invalid answer '2n' in row 1, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'C' in row 1, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer 'n' in row 3, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CB' in row 3, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer '2' in row 6, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'C' in row 6, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer 'nc1' in row 9, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CB' in row 9, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer '24' in row 13, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CB' in row 13, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer '120' in row 16, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'C' in row 16, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer 'all of these' in row 18, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CA' in row 18, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer 'rcn' in row 20, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CA' in row 20, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer '81' in row 23, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CA' in row 23, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer 'neither a nor b' in row 24, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'C' in row 24, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer 'cannot be determined' in row 26, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CA' in row 26, defaulting to 'C2'
2025-10-08 00:39:55,882 - WARNING - Invalid answer '0' in row 28, defaulting to 'a'
2025-10-08 00:39:55,882 - WARNING - Invalid tier 'CB' in row 28, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer 'no value of n' in row 31, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CA' in row 31, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '5c3/27' in row 33, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'C' in row 33, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer 'all give same result' in row 35, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CA' in row 35, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '360' in row 36, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'C' in row 36, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '14' in row 39, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'C11' in row 39, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '104050401' in row 41, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CA' in row 41, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '-40x^3y^2' in row 42, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CD' in row 42, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer 'no such term' in row 46, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CD' in row 46, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '6c3 _ (-8)' in row 49, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'C' in row 49, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '0.951' in row 51, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CA' in row 51, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '970ã6' in row 53, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CD' in row 53, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '8' in row 55, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CA' in row 55, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '55' in row 57, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CD' in row 57, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '888736' in row 59, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CA' in row 59, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '40 _ (-x^3/8)' in row 61, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'C' in row 61, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '12' in row 63, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'CB' in row 63, defaulting to 'C2'
2025-10-08 00:39:55,883 - WARNING - Invalid answer '±1' in row 65, defaulting to 'a'
2025-10-08 00:39:55,883 - WARNING - Invalid tier 'C0' in row 65, defaulting to 'C2'
2025-10-08 00:39:55,884 - WARNING - Invalid answer '11408080320' in row 70, defaulting to 'a'
2025-10-08 00:39:55,884 - WARNING - Invalid tier 'CA' in row 70, defaulting to 'C2'
2025-10-08 00:39:55,884 - WARNING - Invalid answer 'both a and c' in row 71, defaulting to 'a'
2025-10-08 00:39:55,884 - WARNING - Invalid tier 'CD' in row 71, defaulting to 'C2'
2025-10-08 00:39:55,884 - WARNING - Invalid answer '(-1)^n' in row 73, defaulting to 'a'
2025-10-08 00:39:55,884 - WARNING - Invalid tier 'CA' in row 73, defaulting to 'C2'
2025-10-08 00:39:55,884 - WARNING - Invalid answer '6' in row 75, defaulting to 'a'
2025-10-08 00:39:55,884 - WARNING - Invalid tier 'CB' in row 75, defaulting to 'C2'
2025-10-08 00:39:55,884 - WARNING - Invalid answer '35' in row 77, defaulting to 'a'
2025-10-08 00:39:55,884 - WARNING - Invalid tier 'CA' in row 77, defaulting to 'C2'
2025-10-08 00:39:55,884 - WARNING - Invalid answer 'cannot be determined' in row 80, defaulting to 'a'
2025-10-08 00:39:55,884 - WARNING - Invalid tier 'CA' in row 80, defaulting to 'C2'
2025-10-08 00:39:55,884 - INFO - ✓ Cleaned binomial_theorem.csv: 80 questions
2025-10-08 00:39:55,885 - INFO - ✓ Saved cleaned: binomial_theorem_cleaned.csv
2025-10-08 00:39:55,885 - INFO -   Original moved to: processed/binomial_theorem_processed_20251008_003955.csv
2025-10-08 00:39:55,885 - INFO -   Questions: 80 | Tiers: C1:7, C2:50, C3:19, C4:4
2025-10-08 00:39:55,885 - INFO - ------------------------------------------------------------
2025-10-08 00:39:55,885 - INFO - Processing: linear_inequalities.csv
2025-10-08 00:39:55,887 - WARNING - Invalid answer '2' in row 1, defaulting to 'a'
2025-10-08 00:39:55,887 - WARNING - Invalid answer '-4' in row 3, defaulting to 'a'
2025-10-08 00:39:55,887 - WARNING - Invalid tier 'C-5' in row 3, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '0' in row 5, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C1}' in row 5, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '(2' in row 6, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C°)' in row 6, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer 'x ³ 3 with closed circle at 3' in row 21, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'CA' in row 21, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer 'x < -1 with open circle at -1' in row 22, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'CA' in row 22, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer 'the minimum score needed in fifth exam is:' in row 26, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C82' in row 26, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '(7' in row 27, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C9)' in row 27, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '(6' in row 28, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C8)' in row 28, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '11 cm' in row 29, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C9 CM' in row 29, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '(22' in row 30, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C°)' in row 30, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '[-1' in row 31, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C2]' in row 31, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '[5' in row 32, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C11/3]' in row 32, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '86 ² f ² 95' in row 34, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'CA' in row 34, defaulting to 'C2'
2025-10-08 00:39:55,888 - WARNING - Invalid answer '5' in row 42, defaulting to 'a'
2025-10-08 00:39:55,888 - WARNING - Invalid tier 'C6}' in row 42, defaulting to 'C2'
